Employer,City / location,Website,Sources,Source count,Sectors,Details / licences
Bandi + Gerber AG,Büren an der Aare,http://www.bandi-gerber.ch/,Swissmechanic,1,Industry / SMEs,"Bandi + Gerber AG, Solothurnerstrasse 53, 3294 Büren an der Aare"
Bang & Olufsen AG,8038 Zürich,https://www.bang-olufsen.com/de,Swico,1,ICT / consumer electronics,
Bangerter Microtechnik AG,Aarberg; Canton of Bern,https://www.bangerter.com/,Swiss Medtech; Swissmechanic; Swissmem,3,Industry / engineering; Industry / SMEs; Medical technology,"Bangerter Microtechnik AG, Mühlaudamm 2, 3270 Aarberg"
Bank Avera Genossenschaft,8620 Wetzikon; Wetzikon ZH,http://www.bank-avera.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank BSU Genossenschaft,8610 Uster; Uster,http://www.bankbsu.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank CIC (Schweiz) AG,4001 Basel; Basel,http://www.cic.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank Cler AG,4002 Basel; Basel,http://www.cler.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank EEK AG,3001 Bern; Bern,http://www.eek.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank EKI Genossenschaft,3800 Interlaken; Interlaken,http://www.bankeki.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
Bank Gantrisch Genossenschaft,3150 Schwarzenburg; Schwarzenburg,http://www.bankgantrisch.ch/,FINMA; Swiss Banking,2,Banking; Regulated financial services,Bank
